,hoststar,refstar,hoststar_err,refstar_err,image
0,679693.871444,733714.280962,467.953207343,485.688901495,ABxo2b.0002.fits
1,683555.214587,738597.905699,469.220306014,487.238366548,ABxo2b.0010.fits
2,707759.148505,764704.453134,477.222692927,495.549169618,ABxo2b.0018.fits
3,718426.662157,779293.209768,480.559973166,499.998014433,ABxo2b.0030.fits
4,723919.684116,782345.811843,482.334018786,500.943536039,ABxo2b.0042.fits
5,731149.275659,791443.212197,484.62744175,503.727540188,ABxo2b.0056.fits
6,722904.158263,786051.136539,481.811818832,501.904397092,ABxo2b.0066.fits
7,688006.176358,752697.992907,470.277798851,491.339346748,ABxo2b.0078.fits
8,729060.09314,798461.817858,483.629774655,505.598962964,ABxo2b.0092.fits
9,736496.958494,809548.006088,485.888529998,508.869518695,ABxo2b.0116.fits
10,740066.775922,810866.658383,487.135049641,509.385395469,ABxo2b.0136.fits
11,758560.166657,829675.027243,492.908404948,515.002183032,ABxo2b.0154.fits
12,759856.502653,831580.604484,493.213941064,515.483295737,ABxo2b.0170.fits
13,751075.029462,812688.925594,490.387198728,509.65187348,ABxo2b.0182.fits
14,780087.928943,844506.596576,499.547640043,519.333358291,ABxo2b.0194.fits
15,781502.280709,844384.269896,500.017241498,519.323479959,ABxo2b.0202.fits
16,775004.326716,839264.636773,497.946885104,517.749168307,ABxo2b.0212.fits
17,776624.814834,841255.407881,498.41159669,518.313383275,ABxo2b.0228.fits
18,767418.649235,830332.354085,495.536619489,515.019188019,ABxo2b.0242.fits
19,772763.338389,836013.628299,497.207821862,516.73346606,ABxo2b.0254.fits
20,774027.442343,837920.067986,497.539339359,517.241771912,ABxo2b.0262.fits
