,hoststar,refstar,hoststar_err,refstar_err,image
0,583266.228802,629585.190482,430.487869195,447.024742361,ABxo2b.0002.fits
1,585832.562746,632582.686688,431.40995646,448.063539433,ABxo2b.0010.fits
2,653386.137813,705940.927658,455.286274943,473.022799491,ABxo2b.0018.fits
3,666121.088417,722733.927391,459.58209079,478.491617101,ABxo2b.0030.fits
4,658574.130567,710629.428878,456.994725085,474.505391673,ABxo2b.0042.fits
5,665120.983167,719357.509666,459.21252263,477.35577037,ABxo2b.0056.fits
6,632644.982233,688086.472889,447.926637902,466.910678953,ABxo2b.0066.fits
7,540426.728589,591333.77229,414.381818242,433.196926123,ABxo2b.0078.fits
8,635972.311945,696580.919227,449.00785593,469.678490925,ABxo2b.0092.fits
9,643080.663643,706631.969656,451.416812915,472.950984072,ABxo2b.0116.fits
10,634486.555317,694236.397284,448.466782594,468.875203554,ABxo2b.0136.fits
11,688612.540574,753676.608971,466.93850886,488.280233764,ABxo2b.0154.fits
12,666102.098998,728374.205504,459.272140084,480.045009442,ABxo2b.0170.fits
13,625747.100917,676689.297427,445.273877023,462.836384939,ABxo2b.0182.fits
14,724864.987586,783971.315816,478.883189197,497.838572697,ABxo2b.0194.fits
15,731905.448961,789731.418491,481.193433821,499.66065194,ABxo2b.0202.fits
16,699584.67357,757507.840061,470.534692391,489.435994045,ABxo2b.0212.fits
17,690968.687496,746148.213267,467.635589948,485.767498212,ABxo2b.0228.fits
18,642969.513544,694069.892977,451.273914647,468.671461394,ABxo2b.0242.fits
19,676456.321008,729622.147409,462.751453965,480.40904475,ABxo2b.0254.fits
20,671772.792489,723114.276392,461.131986772,478.249313143,ABxo2b.0262.fits
